movie_id,title,genre,director,year,duration_min,avg_rating,user_id,user_rating
157,Movie 157,Sci-Fi,Director 382,2002,113,4.6,658,4.1
158,Movie 158,Thriller,Director 496,2006,176,4.3,977,4.4
159,Movie 159,Romance,Director 379,1985,104,3.1,237,3.8
160,Movie 160,Drama,Director 47,2017,121,4.1,476,1.2
161,Movie 161,Action,Director 374,1981,108,3.1,972,1.6
162,Movie 162,Sci-Fi,Director 228,2001,104,1.6,931,1.3
163,Movie 163,Comedy,Director 39,1999,133,1.5,598,1.0
164,Movie 164,Thriller,Director 16,2004,152,1.8,679,2.2
165,Movie 165,Thriller,Director 22,1994,146,2.4,129,2.6
166,Movie 166,Romance,Director 213,2008,94,4.7,510,2.0
167,Movie 167,Thriller,Director 310,1987,83,4.2,165,1.3
168,Movie 168,Drama,Director 149,2016,117,2.7,277,3.1
169,Movie 169,Action,Director 456,2012,99,3.0,257,2.1
170,Movie 170,Thriller,Director 241,2001,102,2.1,132,4.2
171,Movie 171,Thriller,Director 272,1984,116,3.8,992,1.0
172,Movie 172,Comedy,Director 59,2018,141,4.2,570,4.4
173,Movie 173,Comedy,Director 287,1997,87,2.0,257,4.8
174,Movie 174,Horror,Director 426,2017,116,1.2,141,3.9
175,Movie 175,Sci-Fi,Director 202,2016,124,3.5,686,3.9
176,Movie 176,Drama,Director 32,2009,176,3.3,687,4.7
177,Movie 177,Thriller,Director 443,2010,112,2.6,209,1.8
178,Movie 178,Thriller,Director 162,1989,86,3.6,716,5.0
179,Movie 179,Action,Director 255,1994,101,3.2,519,4.1
180,Movie 180,Horror,Director 254,2021,84,2.0,51,3.9
181,Movie 181,Sci-Fi,Director 9,2023,94,2.6,503,2.4
182,Movie 182,Horror,Director 465,1997,100,2.7,259,3.2
183,Movie 183,Romance,Director 139,2002,168,4.5,178,3.6
184,Movie 184,Sci-Fi,Director 480,2012,96,4.8,922,3.5
185,Movie 185,Thriller,Director 10,1995,135,4.6,543,3.8
186,Movie 186,Thriller,Director 214,2017,129,3.9,356,1.3
187,Movie 187,Sci-Fi,Director 273,2014,86,3.3,318,2.4
188,Movie 188,Thriller,Director 324,2013,129,3.8,666,2.7
189,Movie 189,Drama,Director 48,2007,139,4.8,963,2.0
190,Movie 190,Sci-Fi,Director 436,1981,162,2.0,364,1.7
191,Movie 191,Horror,Director 111,2009,86,3.1,55,1.6
192,Movie 192,Sci-Fi,Director 153,1992,119,3.8,156,2.5
193,Movie 193,Thriller,Director 123,2020,124,3.7,44,3.0
194,Movie 194,Drama,Director 405,1995,138,2.0,593,1.3
195,Movie 195,Drama,Director 357,1984,167,3.3,678,4.8
196,Movie 196,Romance,Director 102,2007,154,4.2,542,4.1
197,Movie 197,Horror,Director 241,2018,134,2.9,322,3.9
198,Movie 198,Comedy,Director 321,2024,143,4.2,648,1.7
199,Movie 199,Comedy,Director 191,1999,144,2.4,14,3.4
200,Movie 200,Sci-Fi,Director 217,2003,133,4.8,357,3.1
201,Movie 201,Romance,Director 51,2006,175,3.1,483,4.9
202,Movie 202,Action,Director 292,2009,119,3.4,618,4.0
203,Movie 203,Sci-Fi,Director 81,2024,132,1.1,359,3.3
204,Movie 204,Romance,Director 489,2006,123,1.7,318,4.4
205,Movie 205,Horror,Director 383,2005,142,3.5,75,1.6
206,Movie 206,Horror,Director 88,1986,81,2.7,959,1.1
207,Movie 207,Horror,Director 194,2021,158,3.0,591,3.8
208,Movie 208,Horror,Director 104,2017,100,1.3,194,1.4
209,Movie 209,Horror,Director 271,1984,167,4.3,997,1.5
210,Movie 210,Romance,Director 96,2002,129,4.1,363,4.0
211,Movie 211,Romance,Director 423,2007,160,1.7,96,2.1
212,Movie 212,Drama,Director 379,2013,131,3.5,40,3.5
213,Movie 213,Comedy,Director 198,1994,88,4.3,768,4.7
214,Movie 214,Thriller,Director 1,2011,178,3.6,397,2.3
215,Movie 215,Horror,Director 495,2005,99,2.2,107,1.9
216,Movie 216,Action,Director 407,2010,162,3.6,17,1.4
217,Movie 217,Thriller,Director 378,1998,97,1.8,527,1.5
218,Movie 218,Romance,Director 167,1988,163,2.3,929,1.2
219,Movie 219,Action,Director 126,2008,109,2.0,784,1.4
220,Movie 220,Action,Director 313,2018,144,3.2,499,2.7
221,Movie 221,Action,Director 81,1983,103,1.4,525,2.3
222,Movie 222,Drama,Director 418,1982,167,4.7,759,3.8
223,Movie 223,Romance,Director 251,2008,126,2.3,726,4.5
224,Movie 224,Action,Director 169,1990,162,1.9,663,4.1
225,Movie 225,Horror,Director 477,2012,173,3.0,804,3.1
226,Movie 226,Sci-Fi,Director 73,2017,169,2.1,43,1.4
227,Movie 227,Action,Director 141,1990,123,3.1,946,3.8
228,Movie 228,Drama,Director 70,2006,108,2.4,626,2.5
229,Movie 229,Thriller,Director 262,2012,156,1.5,842,1.3
230,Movie 230,Romance,Director 340,2000,147,2.1,593,4.4
231,Movie 231,Drama,Director 308,2018,96,2.8,350,2.4
232,Movie 232,Action,Director 245,2010,176,1.1,653,1.9
233,Movie 233,Romance,Director 3,2017,84,4.1,30,4.5
234,Movie 234,Sci-Fi,Director 337,1981,171,3.5,441,4.6
235,Movie 235,Action,Director 63,2006,167,3.4,542,2.4
236,Movie 236,Drama,Director 49,2015,160,3.2,455,2.4
237,Movie 237,Comedy,Director 76,1990,129,3.4,778,3.3
238,Movie 238,Horror,Director 368,1997,119,4.7,611,3.9
239,Movie 239,Thriller,Director 175,1980,125,1.0,962,1.3
240,Movie 240,Drama,Director 109,2014,130,1.2,94,3.4
241,Movie 241,Romance,Director 183,2014,90,1.8,723,4.8
242,Movie 242,Action,Director 192,2010,91,1.7,295,2.0
243,Movie 243,Horror,Director 65,2007,92,1.7,549,4.6
244,Movie 244,Action,Director 337,2018,143,3.7,899,4.8
245,Movie 245,Romance,Director 451,1980,87,2.8,89,2.1
246,Movie 246,Action,Director 474,2004,144,5.0,930,4.0
247,Movie 247,Comedy,Director 271,2022,88,1.9,503,2.0
248,Movie 248,Horror,Director 100,2017,171,2.2,767,4.0
249,Movie 249,Horror,Director 32,1999,81,4.9,214,4.2
250,Movie 250,Romance,Director 352,1982,157,4.3,422,2.0
251,Movie 251,Thriller,Director 128,1981,92,2.9,526,3.9
252,Movie 252,Comedy,Director 452,1997,81,3.2,192,4.2
253,Movie 253,Drama,Director 402,2023,147,4.4,807,2.4
254,Movie 254,Action,Director 369,1989,155,2.9,694,1.7
255,Movie 255,Sci-Fi,Director 339,1984,127,1.8,642,1.4
256,Movie 256,Action,Director 43,1988,153,4.3,224,3.3
257,Movie 257,Action,Director 372,1981,82,3.2,555,4.9
258,Movie 258,Drama,Director 419,2013,147,1.6,693,4.3
259,Movie 259,Action,Director 488,2017,85,3.0,387,2.7
260,Movie 260,Comedy,Director 78,2010,166,2.7,681,3.1
261,Movie 261,Comedy,Director 314,1989,84,4.5,776,2.1
262,Movie 262,Horror,Director 289,1991,82,1.5,474,1.7
263,Movie 263,Romance,Director 270,2015,89,4.5,608,2.9
264,Movie 264,Thriller,Director 162,2000,122,3.0,203,2.9
265,Movie 265,Sci-Fi,Director 189,1985,98,2.6,447,3.1
266,Movie 266,Action,Director 247,1982,93,1.6,833,4.8
267,Movie 267,Action,Director 388,1989,100,3.8,847,3.4
268,Movie 268,Drama,Director 216,1984,122,4.7,900,3.4
269,Movie 269,Romance,Director 315,2005,107,2.5,68,1.5
270,Movie 270,Comedy,Director 413,2000,100,2.0,92,5.0
271,Movie 271,Sci-Fi,Director 339,2024,115,3.2,778,4.1
272,Movie 272,Horror,Director 390,2005,103,4.2,843,4.5
273,Movie 273,Comedy,Director 377,2017,133,1.0,178,2.7
274,Movie 274,Romance,Director 481,2023,117,3.5,663,3.0
275,Movie 275,Thriller,Director 433,2005,96,3.4,829,3.1
276,Movie 276,Horror,Director 168,1987,101,2.3,559,1.8
277,Movie 277,Thriller,Director 339,1984,162,2.8,3,3.8
278,Movie 278,Drama,Director 193,1994,124,2.0,999,4.6
279,Movie 279,Drama,Director 453,1995,153,4.2,103,1.7
280,Movie 280,Action,Director 283,1980,140,3.5,273,1.3
281,Movie 281,Thriller,Director 336,1995,90,3.1,534,4.0
282,Movie 282,Romance,Director 390,2016,140,2.6,116,2.1
283,Movie 283,Sci-Fi,Director 488,1982,117,2.2,859,3.5
284,Movie 284,Horror,Director 13,2010,145,4.3,912,3.8
285,Movie 285,Comedy,Director 240,1992,112,2.8,464,2.3
286,Movie 286,Romance,Director 320,1995,122,3.0,104,4.3
287,Movie 287,Romance,Director 446,2022,110,3.1,259,3.2
288,Movie 288,Drama,Director 483,2000,114,2.8,308,4.5
289,Movie 289,Thriller,Director 147,1981,116,2.0,367,4.1
290,Movie 290,Action,Director 204,2006,126,1.5,929,4.5
291,Movie 291,Action,Director 80,2017,179,1.4,810,1.1
292,Movie 292,Horror,Director 379,2005,102,4.0,642,2.0
293,Movie 293,Drama,Director 43,2017,115,1.9,807,1.4
294,Movie 294,Romance,Director 458,2004,119,1.2,302,2.8
295,Movie 295,Sci-Fi,Director 89,1990,169,4.2,560,4.6
296,Movie 296,Drama,Director 148,1987,168,1.6,27,2.9
297,Movie 297,Horror,Director 95,1987,160,3.5,508,4.4
298,Movie 298,Horror,Director 452,2012,94,2.4,527,2.3
299,Movie 299,Drama,Director 428,1986,116,1.5,775,2.4
300,Movie 300,Horror,Director 151,2017,83,2.7,365,4.6
301,Movie 301,Drama,Director 2,2000,101,1.1,953,2.7
302,Movie 302,Comedy,Director 376,1987,160,4.4,298,4.2
303,Movie 303,Drama,Director 22,2000,101,3.1,777,1.9
304,Movie 304,Thriller,Director 371,1999,160,1.6,361,4.8
305,Movie 305,Drama,Director 313,1987,157,1.9,646,3.3
306,Movie 306,Horror,Director 485,2010,157,2.8,504,4.0
307,Movie 307,Thriller,Director 328,2008,96,1.8,953,1.4
308,Movie 308,Horror,Director 7,1988,151,2.1,588,3.0
309,Movie 309,Action,Director 206,1994,177,3.1,30,4.6
310,Movie 310,Action,Director 440,2009,169,4.3,439,4.5
311,Movie 311,Thriller,Director 375,2005,173,2.6,340,1.2
312,Movie 312,Comedy,Director 451,1989,165,3.9,126,2.2
313,Movie 313,Action,Director 114,2008,159,4.5,596,2.8
314,Movie 314,Drama,Director 272,1995,173,1.9,566,1.7
315,Movie 315,Horror,Director 83,2015,159,4.2,366,3.9
316,Movie 316,Action,Director 179,1999,117,4.0,795,1.7
317,Movie 317,Action,Director 210,2024,103,2.4,852,2.4
318,Movie 318,Comedy,Director 464,2016,179,5.0,443,3.7
319,Movie 319,Thriller,Director 328,2001,178,2.1,263,2.9
320,Movie 320,Thriller,Director 124,1986,85,2.0,936,4.0
321,Movie 321,Romance,Director 481,2002,147,4.1,872,4.8
322,Movie 322,Comedy,Director 113,2020,161,2.7,222,1.5
323,Movie 323,Drama,Director 12,2019,85,2.3,840,3.8
324,Movie 324,Thriller,Director 126,2008,105,1.7,2,1.9
325,Movie 325,Horror,Director 53,1995,170,4.1,910,2.7
326,Movie 326,Comedy,Director 331,2017,120,4.1,394,1.1
327,Movie 327,Action,Director 389,2007,154,3.3,306,1.5
328,Movie 328,Horror,Director 283,2017,117,4.8,146,2.3
329,Movie 329,Horror,Director 140,2010,159,2.3,530,2.4
330,Movie 330,Action,Director 401,1993,162,1.9,528,4.6
331,Movie 331,Comedy,Director 390,2012,122,3.7,308,4.0
332,Movie 332,Action,Director 97,1988,132,4.0,965,4.9
333,Movie 333,Romance,Director 5,2006,94,1.9,948,3.4
334,Movie 334,Horror,Director 57,2003,169,1.3,671,2.0
335,Movie 335,Sci-Fi,Director 412,1992,135,4.2,997,2.3
336,Movie 336,Sci-Fi,Director 334,2005,135,4.9,340,2.3
337,Movie 337,Drama,Director 69,2008,110,3.6,919,2.3
338,Movie 338,Thriller,Director 118,2022,162,2.1,352,3.7
339,Movie 339,Action,Director 376,2007,136,5.0,810,3.1
340,Movie 340,Action,Director 59,2007,130,4.6,209,2.5
341,Movie 341,Drama,Director 33,1987,103,3.1,958,1.6
342,Movie 342,Drama,Director 318,2002,137,4.3,205,1.1
343,Movie 343,Drama,Director 50,2008,152,4.3,625,1.9
344,Movie 344,Horror,Director 368,1984,166,4.7,690,1.4
345,Movie 345,Romance,Director 489,2021,83,4.4,973,4.1
346,Movie 346,Action,Director 19,1986,89,3.6,721,1.4
347,Movie 347,Horror,Director 214,2021,142,3.4,636,3.9
348,Movie 348,Drama,Director 197,2015,152,2.9,15,2.5
349,Movie 349,Action,Director 379,2020,162,3.5,858,1.3
350,Movie 350,Horror,Director 450,2006,94,4.2,428,4.3
351,Movie 351,Romance,Director 478,1981,177,4.9,476,3.3
352,Movie 352,Horror,Director 47,2004,142,2.9,298,1.9
353,Movie 353,Romance,Director 167,1988,98,3.3,557,4.6
354,Movie 354,Drama,Director 452,2006,142,2.8,94,1.2
355,Movie 355,Romance,Director 289,1980,135,3.7,107,1.8
356,Movie 356,Action,Director 141,2002,100,3.5,419,4.0
357,Movie 357,Drama,Director 84,1989,113,1.1,278,3.8
358,Movie 358,Action,Director 182,2021,96,3.2,128,2.2
359,Movie 359,Sci-Fi,Director 391,2004,97,1.4,970,1.2
360,Movie 360,Comedy,Director 79,1982,160,1.1,459,4.4
361,Movie 361,Romance,Director 215,1985,145,4.2,38,2.3
362,Movie 362,Comedy,Director 14,1985,130,2.0,609,1.8
363,Movie 363,Comedy,Director 215,1981,144,2.4,198,3.1
364,Movie 364,Romance,Director 403,1997,122,1.3,704,4.6
365,Movie 365,Drama,Director 128,2002,136,1.7,357,1.2
366,Movie 366,Sci-Fi,Director 310,1981,89,4.1,7,4.1
367,Movie 367,Action,Director 477,1991,116,3.0,556,3.3
368,Movie 368,Horror,Director 248,2001,127,4.5,332,2.7
369,Movie 369,Action,Director 404,2016,148,2.6,519,4.0
370,Movie 370,Horror,Director 29,1999,135,2.1,194,4.9
371,Movie 371,Action,Director 280,2018,155,2.4,316,1.9
372,Movie 372,Romance,Director 338,2003,115,3.9,1,1.6
373,Movie 373,Sci-Fi,Director 319,1999,110,3.2,62,4.7
374,Movie 374,Horror,Director 202,1980,134,4.6,343,3.7
375,Movie 375,Thriller,Director 361,1980,117,3.4,601,2.8
376,Movie 376,Drama,Director 57,1996,152,3.0,18,3.3
377,Movie 377,Action,Director 392,1980,169,4.1,620,4.0
378,Movie 378,Action,Director 218,2024,94,4.8,647,4.1
379,Movie 379,Horror,Director 62,2009,95,2.4,371,4.7
380,Movie 380,Drama,Director 157,2020,156,2.0,822,2.7
381,Movie 381,Drama,Director 202,1982,168,3.5,579,2.2
382,Movie 382,Romance,Director 17,1990,173,3.0,605,3.6
383,Movie 383,Thriller,Director 322,2003,132,5.0,650,2.7
384,Movie 384,Romance,Director 6,2001,135,2.8,701,3.4
385,Movie 385,Romance,Director 58,2023,86,1.3,571,2.7
386,Movie 386,Romance,Director 325,2024,136,4.9,699,1.6
387,Movie 387,Romance,Director 412,2005,134,4.4,235,2.9
388,Movie 388,Romance,Director 318,1992,131,1.7,69,3.8
389,Movie 389,Sci-Fi,Director 169,1980,83,4.6,447,4.2
390,Movie 390,Drama,Director 453,2003,122,2.4,610,3.0
391,Movie 391,Romance,Director 82,1989,119,2.5,8,1.7
392,Movie 392,Drama,Director 474,2014,109,4.6,462,2.7
393,Movie 393,Drama,Director 468,2003,89,3.1,1000,4.1
394,Movie 394,Comedy,Director 425,2007,173,1.6,311,2.7
395,Movie 395,Sci-Fi,Director 433,2015,86,2.5,134,3.8
396,Movie 396,Romance,Director 219,1995,115,3.9,385,3.0
397,Movie 397,Action,Director 177,2019,114,1.7,56,2.0
398,Movie 398,Horror,Director 204,1995,167,3.4,993,4.2
399,Movie 399,Thriller,Director 71,1996,118,3.8,360,1.3
400,Movie 400,Action,Director 387,1994,115,2.4,971,3.1
401,Movie 401,Sci-Fi,Director 266,1995,99,3.8,114,1.8
402,Movie 402,Horror,Director 98,1994,128,4.5,88,1.3
403,Movie 403,Sci-Fi,Director 345,2013,175,2.9,138,3.0
404,Movie 404,Drama,Director 291,1990,138,2.5,108,3.0
405,Movie 405,Horror,Director 208,1980,128,2.0,500,3.8
406,Movie 406,Drama,Director 2,1994,169,3.4,535,4.0
407,Movie 407,Action,Director 124,2005,105,4.5,144,3.9
408,Movie 408,Action,Director 280,1983,115,2.3,869,2.6
409,Movie 409,Horror,Director 74,2022,122,2.6,656,3.5
410,Movie 410,Horror,Director 166,1984,178,2.6,56,3.3
411,Movie 411,Romance,Director 22,2014,122,3.2,620,2.7
412,Movie 412,Sci-Fi,Director 154,1992,178,1.9,863,3.4
413,Movie 413,Romance,Director 427,1989,155,4.3,6,4.8
414,Movie 414,Sci-Fi,Director 439,1990,112,2.2,542,1.8
415,Movie 415,Romance,Director 295,1997,179,3.8,447,4.6
416,Movie 416,Drama,Director 219,2013,157,3.1,997,1.2
417,Movie 417,Horror,Director 157,2018,176,3.3,385,2.2
418,Movie 418,Action,Director 495,2020,124,1.7,307,2.2
419,Movie 419,Sci-Fi,Director 230,2021,124,3.9,874,3.5
420,Movie 420,Sci-Fi,Director 20,2002,167,1.8,857,1.5
421,Movie 421,Action,Director 475,1986,94,1.5,639,4.5
422,Movie 422,Romance,Director 41,2018,174,3.2,302,4.3
423,Movie 423,Sci-Fi,Director 438,1982,96,3.8,633,3.6
424,Movie 424,Thriller,Director 148,1991,91,1.2,405,2.8
425,Movie 425,Drama,Director 108,1986,101,1.3,611,4.7
426,Movie 426,Horror,Director 403,2005,102,4.2,678,4.3
427,Movie 427,Action,Director 84,2012,169,4.2,837,3.0
